State,Number,Summary,Bill Type,Date,Status,Youth State Risk,Adult State Risk,Notes,URL,Sponsors,Calendar,History,Manual Status,Change Hash,Bill ID,PDF,Bill Analysis (AI Automated),Bill PDF
Alaska,HB105,Sex/reproduction Education; Schools,Don't Say Gay / Forced Outing By Schools,5/6/2024,REFERRED TO FINANCE,Moderate,Moderate,"In schools; pronouns, sex instruction, grooming, sex trafficking, bathroom safety procedures; K12; Carried over from 2023",https://legiscan.com/AK/bill/HB105/2023,Rules,"Hearing 2023-03-13 08:00 Davis 106, Hearing 2023-03-29 08:00 Davis 106, Hearing 2023-03-30 17:15 Davis 106, Hearing 2023-04-13 17:15 Barnes 124, Hearing 2023-04-24 08:00 Davis 106, Hearing 2023-04-26 08:00 Davis 106, Hearing 2023-04-28 08:00 Davis 106, Hearing 2023-05-01 13:00 Gruenberg 120, Hearing 2024-01-31 13:00 Gruenberg 120, Hearing 2024-04-15 13:00 Gruenberg 120, Hearing 2024-04-17 13:00 Gruenberg 120","H 2023-03-08 READ THE FIRST TIME - REFERRALS, H 2023-03-08 EDC, JUD, H 2023-03-08 FN1: (EED), H 2023-03-08 GOVERNOR'S TRANSMITTAL LETTER, H 2023-04-28 EDC RPT CS(EDC) NEW TITLE 1DP 3DNP 1NR 2AM, H 2023-04-28 DP: PRAX, H 2023-04-28 DNP: HIMSCHOOT, STORY, MCCORMICK, H 2023-04-28 NR: RUFFRIDGE, H 2023-04-28 AM: MCKAY, ALLARD, H 2023-04-28 FN1: (EED), H 2023-04-28 REFERRED TO JUDICIARY",Failed,1c4d0813794c6b406d3161a2e93e7075,1730818,"https://www.akleg.gov/PDF/33/Bills/HB0105A.PDF, https://www.akleg.gov/PDF/33/Bills/HB0105B.PDF",,https://drive.google.com/open?id=1YjIMb-w0VmFepQxfsye24AlfgnZ-A5DV
Alaska,HB174,"An Act restricting fiduciary actions by a fiduciary of a state fund, the Alaska Retirement Management Board, and the Alaska Permanent Fund Corporation Board that have the purpose of furthering social, political, or ideological interests.",Ban on Public Investment in ESG Funds,2/26/2024,COSPONSOR(S): MCKAY,Moderate,Moderate,state money can't invest in pro or anti- gender affirming care,https://legiscan.com/AK/bill/HB174/2023,,,,Failed,,,,,
Alaska,HB183,Designate Sex For School-sponsored Sports,Sports Ban,5/14/2024,REFERRED TO EDUCATION,Moderate,Moderate,"Effectively dead in Senate, but Alaska has an existing trans sports ban by executive branch regulation as of October 2023.  K12, college, trans girls/women. Carry over from 2023",https://legiscan.com/AK/bill/HB183/2023,"Jamie Allard, Thomas McKay","Hearing 2024-03-15 08:00 Davis 106, Hearing 2024-03-25 08:00 Davis 106, Hearing 2024-04-08 13:00 Gruenberg 120, Hearing 2024-04-12 13:00 Gruenberg 120","H 2023-04-28 READ THE FIRST TIME - REFERRALS, H 2023-04-28 EDC, JUD, H 2023-05-11 COSPONSOR(S): MCKAY, H 2024-03-25 EDC RPT 2DP 3DNP 1NR 1AM, H 2024-03-25 DP: MCKAY, ALLARD, H 2024-03-25 DNP: HIMSCHOOT, STORY, MCCORMICK, H 2024-03-25 NR: PRAX, H 2024-03-25 AM: RUFFRIDGE, H 2024-03-25 FN1: ZERO(EED), H 2024-04-15 JUD RPT CS(JUD) 5DP 2DNP, H 2024-04-15 DP: C.JOHNSON, CARPENTER, SUMNER, ALLARD, VANCE, H 2024-04-15 DNP: GRAY, GROH, H 2024-04-15 FN1: ZERO(EED), H 2024-04-15 REFERRED TO RULES",Failed,03deac5ef4c32a19dbf5a547bd2cf8f4,1760038,"https://www.akleg.gov/PDF/33/Bills/HB0183A.PDF, https://www.akleg.gov/PDF/33/Bills/HB0183B.PDF",,https://drive.google.com/open?id=1gTslRC4dgz7mgy9l-4wMRMfKkQ6rDmE4
Alaska,HB338,Phys Lblty: Gender Trans Procedure;minors,Liability Law/Backdoor Ban,4/18/2024,REFERRED TO RULES,Moderate,Moderate,,https://legiscan.com/AK/bill/HB338/2023,Jamie Allard,"Hearing 2024-03-06 13:00 Gruenberg 120, Hearing 2024-03-08 13:00 Gruenberg 120, Hearing 2024-03-25 13:00 Gruenberg 120, Hearing 2024-03-27 13:00 Gruenberg 120, Hearing 2024-04-10 13:00 Gruenberg 120, Hearing 2024-04-15 13:00 Gruenberg 120, Hearing 2024-04-17 13:00 Gruenberg 120","H 2024-02-20 READ THE FIRST TIME - REFERRALS, H 2024-02-20 JUD, H 2024-04-18 JUD RPT 4DP 2DNP 1AM, H 2024-04-18 DP: C.JOHNSON, CARPENTER, SUMNER, ALLARD, H 2024-04-18 DNP: GRAY, GROH, H 2024-04-18 AM: VANCE, H 2024-04-18 FN1: ZERO(GOV/COMBINED), H 2024-04-18 REFERRED TO RULES",Failed,65ce0153b794459a5f895d840b7ed741,1851023,https://www.akleg.gov/PDF/33/Bills/HB0338A.PDF,,https://drive.google.com/open?id=1t3ELJ3BXu_m2ATBj6g2LDgoGdkSTVZ_Y
Alaska,HB382,Education; Parent/teacher Rights,Don't Say Gay / Forced Outing By Schools / Trans Bathroom Ban,2/20/2024,REFERRED TO EDUCATION,Moderate,Moderate,Includes a K12 school trans bathroom ban,https://legiscan.com/AK/bill/HB382/2023,Benjamin Carpenter,,"H 2024-02-20 READ THE FIRST TIME - REFERRALS, H 2024-02-20 EDC, JUD, H 2024-02-20 REFERRED TO EDUCATION",Failed,c68bfa7abd86139cd6d837beba966695,1851103,https://www.akleg.gov/PDF/33/Bills/HB0382A.PDF,,https://drive.google.com/open?id=1aeYR-00q19OWi6ioGMmeF_bMLoOMA1op
Alaska,SB245,Tech Devices: Material Filter For Minors,Online Obscenity Law,2/19/2024,REFERRED TO LABOR & COMMERCE,Moderate,Moderate,,https://legiscan.com/AK/bill/SB245/2023,Jesse Bjorkman,,"S 2024-02-19 READ THE FIRST TIME - REFERRALS, S 2024-02-19 L&C, JUD, S 2024-02-19 REFERRED TO LABOR & COMMERCE",Failed,f8f3d762b382412bcfc52d60df16e524,1850245,https://www.akleg.gov/PDF/33/Bills/SB0245A.PDF,,https://drive.google.com/open?id=1GlpzU_VgA_cmicuOE3gIlduaLxLa6IUb
Arizona,HB2391,Biological sex; standard; review; records,End Legal Recognition,1/22/2024,House read second time,Low,Low,"Uses IWF and WoLF's ""Women's Bill of Rights"" language; Failed crossover deadline 3/22/24",https://legiscan.com/AZ/bill/HB2391/2024,"Alexander Kolodin, John Gillette, Rachel Jones, Barbara Parker",,"H 2024-01-17 Introduced in House and read first time, H 2024-01-17 Assigned to House GOV Committee, H 2024-01-17 Assigned to House RULES Committee, H 2024-01-22 House read second time",Failed,34ee2418b53c42c364d10908e792a1c6,1810216,https://www.azleg.gov/legtext/56leg/2r/bills/hb2391p.htm,,https://drive.google.com/open?id=1VbVjRoyBNvUIA13JTJ6A6CTVZxkgMUG5
Arizona,HB2586,Harmful website content; age verification.,Online Obscenity Law,4/8/2024,Governor Vetoed,Low,Low,,https://legiscan.com/AZ/bill/HB2586/2024,"Tim Dunn, Ben Toma","Hearing 2024-01-31 09:00 HHR 4, Hearing 2024-02-05 13:00 HHR 4, Hearing 2024-03-11 14:00 SHR 2, Hearing 2024-03-18 13:00 Caucus Room 1","H 2024-01-22 Introduced in House and read first time, H 2024-01-22 Assigned to House JUD Committee, H 2024-01-22 Assigned to House RULES Committee, H 2024-01-23 House read second time, H 2024-01-31 House JUD Committee action: Do Pass, voting: (4-3-2-0-0-0), H 2024-02-05 House RULES Committee action: constitutional and in proper form, voting: (9-0-0-0-0-0), H 2024-02-05 House consent calendar, H 2024-02-06 House majority caucus: Do pass, H 2024-02-06 House minority caucus: Do pass, H 2024-02-20 House Committee of the Whole action: Retained on the Calendar, H 2024-02-21 House Committee of the Whole action: Do Pass, H 2024-02-28 House third reading PASSED voting: (32-27-0-0), S 2024-02-28 Transmit to Senate, S 2024-03-04 Introduced in Senate and read first time, S 2024-03-04 Assigned to Senate TTMC Committee, S 2024-03-04 Assigned to Senate RULES Committee, S 2024-03-05 Senate read second time, S 2024-03-11 Senate TTMC Committee action: Do Pass, voting: (4-3-0-0), S 2024-03-18 Senate RULES Committee action: Proper For Consideration, voting: (4-3-0-0), S 2024-03-18 Senate consent calendar, S 2024-03-19 Senate minority caucus: Do pass, S 2024-03-19 Senate majority caucus: Do pass, S 2024-03-26 Senate Committee of the Whole action: Do Pass, S 2024-04-01 Senate third reading PASSED voting: (16-12-2-0), H 2024-04-01 Transmit to House,  2024-04-02 Transmitted to Governor,  2024-04-08 Governor Vetoed",Vetoed,0886e74fc083709ebc005366e9286dfd,1811661,"https://www.azleg.gov/legtext/56leg/2r/bills/hb2586p.htm, https://www.azleg.gov/legtext/56leg/2r/bills/hb2586h.htm",,https://drive.google.com/open?id=1DGdiWj5GUhwVdTxW0cX8fw4LHX3V-hAF
Arizona,HB2655,Public schools; teachers; expressive rights,Legal Discrimination in Education,1/24/2024,House read second time,Low,Low,Allows teachers to bully trans kids; Failed at crossover deadline 3/22/24,https://legiscan.com/AZ/bill/HB2655/2024,"Barbara Parker, Justin Heap, Rachel Jones, Alexander Kolodin, David Marshall, Cory McGarr, Steve Montenegro, Jacqueline Parker, Beverly Pingerelli, Austin Smith, Jake Hoffman, Justine Wadsack",,"H 2024-01-23 Introduced in House and read first time, H 2024-01-23 Assigned to House ED Committee, H 2024-01-23 Assigned to House RULES Committee, H 2024-01-24 House read second time",Failed,d3b95540f38f1a44696f4b05298f4124,1823723,https://www.azleg.gov/legtext/56leg/2r/bills/hb2655p.htm,,https://drive.google.com/open?id=1AaocIvy51mWEGJt1FgCKTySN9qNfXm0U
Arizona,HB2657,Parent's rights; mental; physical health,Don't Say Gay / Forced Outing By Schools,1/24/2024,House read second time,Low,Low,Failed at crossover deadline 3/22/24,https://legiscan.com/AZ/bill/HB2657/2024,"Barbara Parker, Justin Heap, Rachel Jones, Alexander Kolodin, David Marshall, Cory McGarr, Steve Montenegro, Jacqueline Parker, Austin Smith, Jake Hoffman, Justine Wadsack",,"H 2024-01-23 Introduced in House and read first time, H 2024-01-23 Assigned to House ED Committee, H 2024-01-23 Assigned to House RULES Committee, H 2024-01-24 House read second time",Failed,9dbdc94bebde5a13a4d67a145fbd01f3,1823814,https://www.azleg.gov/legtext/56leg/2r/bills/hb2657p.htm,,https://drive.google.com/open?id=10PJn8lTV6jHwr7jZ4eoLat1cWhSffxiQ
Arizona,HB2661,Electronic devices; filters; obscene material,Online Obscenity Law,5/1/2024,Senate Committee of the Whole action: Retained,Low,Low,Passed one chamber but failed at sine die 6/15/24,https://legiscan.com/AZ/bill/HB2661/2024,"Ben Toma, Selina Bliss, Tim Dunn, Travis Grantham","Hearing 2024-01-31 09:00 HHR 4, Hearing 2024-02-05 13:00 HHR 4, Hearing 2024-03-18 14:00 SHR 109, Hearing 2024-03-25 13:00 Caucus Room 1","H 2024-01-29 Introduced in House and read first time, H 2024-01-29 Assigned to House JUD Committee, H 2024-01-29 Assigned to House RULES Committee, H 2024-01-30 House read second time, H 2024-01-31 House JUD Committee action: Do Pass, voting: (5-3-1-0-0-0), H 2024-02-05 House RULES Committee action: constitutional and in proper form, voting: (9-0-0-0-0-0), H 2024-02-05 House consent calendar, H 2024-02-06 House majority caucus: Do pass, H 2024-02-06 House minority caucus: Do pass, H 2024-02-20 House Committee of the Whole action: Retained on the Calendar, H 2024-02-28 House Committee of the Whole action: Do Pass Amended, H 2024-02-29 House third reading PASSED voting: (34-25-0-0), S 2024-02-29 Transmit to Senate, S 2024-03-07 Introduced in Senate and read first time, S 2024-03-07 Assigned to Senate FICO Committee, S 2024-03-07 Assigned to Senate RULES Committee, S 2024-03-11 Senate read second time, S 2024-03-18 Senate FICO Committee action: Do Pass Amended, voting: (4-3-0-0), S 2024-03-25 Senate RULES Committee action: Proper For Consideration, voting: (0-0-0-0), S 2024-03-26 Senate minority caucus: Do pass, S 2024-03-26 Senate majority caucus: Do pass",Failed,7fbe1976cb2eaf9c79050d1ece19e528,1823932,"https://www.azleg.gov/legtext/56leg/2r/bills/hb2661p.htm, https://www.azleg.gov/legtext/56leg/2r/bills/hb2661h.htm",,https://drive.google.com/open?id=1YlSmitWRnw2XWlkFbCIXq-_FuRojr9Qr
Arizona,SB1005,Public monies; ideology training; prohibition,DEI Ban,3/12/2024,House minority caucus: Do pass,Low,Low,Passed one chamber but failed at sine die 6/15/24,https://legiscan.com/AZ/bill/SB1005/2024,"Jake Hoffman, Justine Wadsack, Joseph Chaplik, Justin Heap, Laurin Hendrix, Rachel Jones, Alexander Kolodin, Cory McGarr, Barbara Parker, Jacqueline Parker","Hearing 2024-01-17 10:00 SHR 1, Hearing 2024-01-17 00:00 SHR 1, Hearing 2024-01-24 09:00 SHR 1, Hearing 2024-01-29 13:00 Caucus Room 1, Hearing 2024-02-28 10:00 HHR 3, Hearing 2024-03-04 00:00 HHR 4","S 2023-12-18 Prefile, S 2024-01-08 Introduced in Senate and read first time, S 2024-01-08 Assigned to Senate GOV Committee, S 2024-01-08 Assigned to Senate RULES Committee, S 2024-01-09 Senate read second time, S 2024-01-24 Senate GOV Committee action: Do Pass, voting: (5-3-0-0), S 2024-01-29 Senate RULES Committee action: Proper For Consideration, voting: (0-0-0-0), S 2024-01-29 Senate consent calendar, S 2024-01-30 Senate majority caucus: Do pass, S 2024-01-30 Senate minority caucus: Do pass, S 2024-01-31 Senate Committee of the Whole action: Do Pass, S 2024-01-31 Senate third reading PASSED voting: (16-13-1-0), H 2024-02-01 Transmit to House, H 2024-02-19 Introduced in House and read first time, H 2024-02-19 Assigned to House GOV Committee, H 2024-02-19 Assigned to House RULES Committee, H 2024-02-20 House read second time, H 2024-02-28 House GOV Committee action: Do Pass, voting: (5-4-0-0-0-0), H 2024-03-04 House RULES Committee action: constitutional and in proper form, voting: (9-0-0-0-0-0), H 2024-03-04 House consent calendar, H 2024-03-12 House majority caucus: Do pass, H 2024-03-12 House minority caucus: Do pass",Failed,e4045e05ce2e9a0e7ba3e4dff8a3b88b,1793727,"https://www.azleg.gov/legtext/56leg/2r/bills/sb1005p.htm, https://www.azleg.gov/legtext/56leg/2r/bills/sb1005s.htm",,https://drive.google.com/open?id=1Lwtvb_CAmBLeh41cXIhcQ7GcqdYJbGrn
