Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2015,"Dosamantes, Celia",09/15/2022,Filing late disclosure statements,Filing late disclosure statements,"$1,600"
2015,"Dosamantes, Celia",09/15/2022,"Accepting contribtions from corporations, limited liabilty compaines, or partnerships","Accepting contribtions from corporations, limited liabilty compaines, or partnerships","$13,200"
2015,"Dosamantes, Celia",09/15/2022,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$9,750"
2015,"Dosamantes, Celia",09/15/2022,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$100
2015,"Dosamantes, Celia",09/15/2022,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$413
2015,"Dosamantes, Celia",09/15/2022,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$7,875"
2015,"Dosamantes, Celia",09/15/2022,Material misrepresentation; fraud; submission of false or fictitious information,Material misrepresentation; fraud; submission of false or fictitious information,"$30,000"
2015,"Dosamantes, Celia",09/15/2022,Failing to respond to the draft audit report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests",$506
2019A,"O'Donnell, Daniel",09/15/2022,Accepting an over-the-limit contribution,Acceoting over-the-limit contributions,$125
2019A,"O'Donnell, Daniel",09/15/2022,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,VNP
2019A,"O'Donnell, Daniel",09/15/2022,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$678
2021T,"Jordan, Kristin",09/15/2022,Improper use of TIE funds,Improper use of TIE funds,$999
2021T,"Jordan, Kristin",09/15/2022,Late response to requests for information or documentation,Late response/failure to respond to requests for information or documentation,$200
2017,"Williams, Jumaane",07/18/2022,Failing to report transactions,Failing to report transactions,VNP
2017,"Williams, Jumaane",07/18/2022,Filing late disclosure statements,Failing to file/late filing of disclosure statements,$200
2017,"Williams, Jumaane",07/18/2022,Accpeting over-the-limit contributions,Accpeting over-the-limit contributions,"$10,680"
2017,"Williams, Jumaane",07/18/2022,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liabilty companies, or partnerships",$610
2017,"Williams, Jumaane",07/18/2022,Accepting a contribution from an unregistered political action committee,,$300
2017,"Williams, Jumaane",07/18/2022,Commingling campaign funds with funds accepted for a different election,Commingling campaign funds with personal or business funds or funds accepted for a different election,$250
2017,"Williams, Jumaane",07/18/2022,Filing a late response to the Draft Audit Report,"Failng to respond/late response to documentation and information resuests (Initial Documentation Request, Draft Audit Report, other requests)",$454
2019B,"Alexis, Anthony",07/18/2022,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$460
2019B,"Alexis, Anthony",07/18/2022,Failing to document a transaction,Failing to document transactions,VNP
2019B,"Alexis, Anthony",07/18/2022,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$375
2019A,"Herbert, Anthony",03/10/2022,Failing to demonstrate compliance with cash receipts reporting and documentation requests,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$107
2019A,"Herbert, Anthony",03/10/2022,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$750
2019A,"Herbert, Anthony",03/10/2022,Failing to respond to the Draft Audit Report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests",$500
2017,"Abreu, Randy",02/10/2022,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$99
2017,"Abreu, Randy",02/10/2022,Filing a late disclosure statement,Failing to file/late filing of disclosure statements,VNP
2017,"Abreu, Randy",02/10/2022,Failing to report transactions in daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$250
2017,"Abreu, Randy",02/10/2022,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2017,"Abreu, Randy",02/10/2022,Failing to document transactions,Failing to document transactions,$50
2017,"Abreu, Randy",02/10/2022,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$218
2017,"Abreu, Randy",02/10/2022,Failing to respond to the Initial Documentation Request and Draft Audit Report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests","$5,000"
2017,"Abreu, Randy",02/10/2022,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$4,743"
2017,"Speranza, Martha",02/10/2022,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",VNP
2017,"Speranza, Martha",02/10/2022,Failing to report transactions,Failing to report transactions,$256
2017,"Speranza, Martha",02/10/2022,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate complaiance with subcontractor reporting and documentation requirements,$50
2017,"Speranza, Martha",02/10/2022,Failing to document transactions,Failing to document transactions,$285
2017,"Speranza, Martha",02/10/2022,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liabilty companies, or partnerships",$500
2017,"Speranza, Martha",02/10/2022,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$6,286"
2017,"Speranza, Martha",02/10/2022,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$913
2017,"Speranza, Martha",02/10/2022,Exceeding the expenditure limit,Exceeding the expenditure limit,"$23,192"
2017,"Speranza, Martha",02/10/2022,Failing to respond to the Intial Documentation Request and Draft Audit Report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests","$10,000"
2017,"Speranza, Martha",02/10/2022,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$36,672"
2017,"Schwartz, Dylan",02/10/2022,Failing to provide bank and merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$800
2017,"Schwartz, Dylan",02/10/2022,Filing late disclosure statements,Filing late disclosure statements,$350
2017,"Schwartz, Dylan",02/10/2022,Failing to demonstrate complaiance with subcontractor reporting and documentation requirements,Failing to demonstrate complaiance with subcontractor reporting and documentation requirements,$100
2017,"Schwartz, Dylan",02/10/2022,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2017,"Schwartz, Dylan",02/10/2022,Accepting over-the-limit contributions,Accepting over-the-limit contributions,No Violation
2017,"Schwartz, Dylan",02/10/2022,Converting campaign funds to a personal use,Converting campaign funds to a personal use,VNP
2017,"Schwartz, Dylan",02/10/2022,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$1,189"
2017,"Schwartz, Dylan",02/10/2022,Failing to respond to the Initial Documentation Request and Draft Audit Report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests","$10,000"
2017,"Schwartz, Dylan",02/10/2022,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$94,737"
2017,"Moya, Francisco",12/16/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$250
2017,"Moya, Francisco",12/16/2021,Failing to document transactions,Failing to document transactions,$508
2017,"Moya, Francisco",12/16/2021,Accepting a contribution from a limited liability compay,"Accepting contributions from corporations, limited liability companies, or partnerships","$1,962"
2017,"Moya, Francisco",12/16/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,No Violation
2017,"Moya, Francisco",12/16/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$222
2017,"Moya, Francisco",12/16/2021,Exceeding the expenditure limit,Exceeding the expenditure limit,"$35,000"
2017,"Moya, Francisco",12/16/2021,Filing a late response to the Draft Audit Report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests","$2,002"
2017,"Torres, Tommy",11/18/2021,Failing to report transactions,Failing to report transactions,"$2,572"
2017,"Torres, Tommy",11/18/2021,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$500
2017,"Torres, Tommy",11/18/2021,Failing to file/late filing of disclosure statements,Failing to file/late filing of disclosure statements,"$1,550"
2017,"Torres, Tommy",11/18/2021,Failing to document a transaction,Failing to document transactions,$60
2017,"Torres, Tommy",11/18/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$3,500"
2017,"Torres, Tommy",11/18/2021,Failing to respond to the Initial Documentation Request and the Draft Audit Report,"Failing to respond/late response to documentation and information requests (Initial Documentation Request, Draft Audit Report, other Requests","$9,436"
2019A,"Eisenbach, David",10/28/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requests,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$118
2019A,"Eisenbach, David",10/28/2021,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$5,124"
2019A,"Eisenbach, David",10/28/2021,"Accepting contributions from corporations, limited liabilty companies, or partnerships","Accepting contributions from corporations, limited liabilty companies, or partnerships",$250
2017,"Miller, Daneek",10/07/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$319
2017,"Miller, Daneek",10/07/2021,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,$250
2017,"Miller, Daneek",10/07/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$250
2017,"Miller, Daneek",10/07/2021,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$900
2017,"Miller, Daneek",10/07/2021,Accepting a contribution from an unregistered political committee,Accepting a contribution from  unregistered political committees,$125
2017,"Miller, Daneek",10/07/2021,Failing to document a transaction,Failing to document a transaction,$71
2017,"Miller, Daneek",10/07/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$225
2017,"Miller, Daneek",10/07/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$4,468"
2017,"Miller, Daneek",10/07/2021,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$4,303"
2017,"Provost, Cory",10/07/2021,Filing a late disclosure statemeent,Failing to file/late filing of disclosure statements,VNP
2017,"Provost, Cory",10/07/2021,Failing to document a transaction,Failing to document transactions,$131
2017,"Provost, Cory",10/07/2021,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$184
2017,"Provost, Cory",10/07/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$100
2017,"Provost, Cory",10/07/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,VNP
2017,"Provost, Cory",10/07/2021,Failng to respond to the Draft Audit Report,"Failng to respond/late response to documentation and information resuests (Initial Documentation Request, Draft Audit Report, other requests)","$2,500"
2017,"Schachter, Bessie",10/07/2021,Failing to report transactionsin in dailiy pre-election disclosure statements,Failing to report transactionsin in dailiy pre-election disclosure statements,$250
2017,"Schachter, Bessie",10/07/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$100
2017,"Rodriguez, Robert",09/02/2021,Failing to demonstrate compliance with cash reciepts reporting  and documentation requirements,Failing to demonstrate compliance with cash reciepts reporting and documentation requirements,"$1,031"
2017,"Rodriguez, Robert",09/02/2021,Filing late disclosure statements,Filing late disclosure statements,$100
2017,"Rodriguez, Robert",09/02/2021,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$125
2017,"Rodriguez, Robert",09/02/2021,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2017,"Rodriguez, Robert",09/02/2021,Making a cash expenditure greater than $100,Making cash expenditures greater than $100,$156
2017,"Rodriguez, Robert",09/02/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$2,681"
2017,"Rodriguez, Robert",09/02/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$657
2017,"Rodriguez, Robert",09/02/2021,Exceeding the expenditure limit,Exceeding the expenditure limit,"$32,000"
2017,"Imperile, Dashia",09/02/2021,Failing to report transactions,Failing to report transactions,$59
2017,"Imperile, Dashia",09/02/2021,Filing a late disclosure statement,Filing late disclosure statements,VNP
2017,"Imperile, Dashia",09/02/2021,Failing to demonstrate that spending was  in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$132
2017,"Imperile, Dashia",09/02/2021,Failing to respond to the Draft Audit Report,"Failng to respond/late response to documentation and information resuests (Initial Documentation Request, Draft Audit Report, other requests)","$1,251"
2017,"Miller, Daneek",07/15/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$319
2017,"Miller, Daneek",07/15/2021,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,$250
2017,"Miller, Daneek",07/15/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$250
2017,"Miller, Daneek",07/15/2021,Accepting a contribution from a corporation,Accepting a contribution from a corporation,$900
2017,"Miller, Daneek",07/15/2021,Accepting a contribution from an unregistered political committee,Accepting a contribution from an unregistered political committee,$125
2017,"Miller, Daneek",07/15/2021,Failing to document a transaction,Failing to document a transaction,$71
2017,"Miller, Daneek",07/15/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$225
2017,"Miller, Daneek",07/15/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$4,468"
2017,"Miller, Daneek",07/15/2021,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$4,303"
2017,"Ulrich, Eric",07/15/2021,Failing to report transactions,Failing to report transactions,"$1,352"
2017,"Ulrich, Eric",07/15/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$75
2017,"Ulrich, Eric",07/15/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$300
2017,"Ulrich, Eric",07/15/2021,Failing to document transactions,Failing to document transactions,$300
2017,"Ulrich, Eric",07/15/2021,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$3,187"
2017,"Ulrich, Eric",07/15/2021,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$100
2017,"Ulrich, Eric",07/15/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$331
2017,"Ulrich, Eric",07/15/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$1,261"
2017,"Ulrich, Eric",07/15/2021,Exceeding the expenditure limit,Exceeding the expenditure limit,"$13,750"
2017,"Raymond, Pia",04/29/2021,Accepting contributions from corporations,Accepting contributions from corporations,$525
2017,"Raymond, Pia",04/29/2021,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2017,"Raymond, Pia",04/29/2021,Failing to document transactions,Failing to document transactions,$790
2017,"Raymond, Pia",04/29/2021,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$200
2017,"Raymond, Pia",04/29/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$544
2017,"Raymond, Pia",04/29/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$130
2017,"Raymond, Pia",04/29/2021,Failing to respond to the Draft Audit Report and filing a late response to the Initial Documentation Request,Failing to respond to the Draft Audit Report and filing a late response to the Initial Documentation Request,"$9,839"
2017,"Raymond, Pia",04/29/2021,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$78,141"
2017,"Olivera, Deidre",04/29/2021,Failing to document transactions,Failing to document transactions,Violation; No Penalty
2017,"Olivera, Deidre",04/29/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,Violation; No Penalty
2017,"Olivera, Deidre",04/29/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$126
2017,"Olivera, Deidre",04/29/2021,Making a cash expenditure greater than $100,Making a cash expenditure greater than $100,$80
2017,"Olivera, Deidre",04/29/2021,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$11,778"
2017,"Ayala, Diana",04/15/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$339
2017,"Ayala, Diana",04/15/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$250
2017,"Cleare, Cordell",04/01/2021,Filing a late disclosure statement,Filing a late disclosure statement,$250
2017,"Cleare, Cordell",04/01/2021,Failing to report/ late reporting of transactions in daily pre-election disclosure statements,Failing to report/ late reporting of transactions in daily pre-election disclosure statements,$300
2017,"Cleare, Cordell",04/01/2021,Filing a late response to the Initial Documentation Request and the Draft Audit Report,Filing a late response to the Initial Documentation Request and the Draft Audit Report,"$1,200"
2017,"Cleare, Cordell",04/01/2021,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding liabilities,"$1,884"
2017,"Hormeku, Mawuli",04/01/2021,Failing to provide bank statements,Failing to provide bank statements,$124
2017,"Hormeku, Mawuli",04/01/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$554
2017,"Hormeku, Mawuli",04/01/2021,Failing to file disclosure statements,Failing to file disclosure statements,$467
2017,"Hormeku, Mawuli",04/01/2021,Accepting a contribution from an unregistered political committee,Accepting a contribution from an unregistered political committee,"$3,111"
2017,"Hormeku, Mawuli",04/01/2021,Making cash expenditures greater than $100,Making cash expenditures greater than $100,$623
2017,"Hormeku, Mawuli",04/01/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$622
2017,"Hormeku, Mawuli",04/01/2021,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$12,807"
2017,"Hormeku, Mawuli",04/01/2021,Failing to document transactions,Failing to document transactions,Violation; No Penalty
2017,"Hormeku, Mawuli",04/01/2021,Failing to respond to the Draft Audit Report,Failing to respond to the Draft Audit Report,$500
2017,"Hormeku, Mawuli",04/01/2021,Material misrepresentation and submission of false or fictitious information,Material misrepresentation and submission of false or fictitious information,"$20,000"
2017,"Holland, Marvin",03/15/2021,Failing to report transactions,Failing to report transactions,"$4,623"
2017,"Holland, Marvin",03/15/2021,Failing to document transactions,Failing to document transactions,$240
2017,"Holland, Marvin",03/15/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$117
2017,"Holland, Marvin",03/15/2021,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,"$1,000"
2017,"Holland, Marvin",03/15/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$250
2017,"Holland, Marvin",03/15/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$148
2017,"Holland, Marvin",03/15/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$749
2017,"Holland, Marvin",03/15/2021,Failing to respond to the Initial Documentation Request and Draft Audit Report,Failing to respond to the Initial Documentation Request and Draft Audit Report,"$10,782"
2017,"Holland, Marvin",03/15/2021,Qualified Expenditure Deficit,Qualified Expenditure Deficit,"$51,737"
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to disclose a merchant account,Failing to disclose a merchant account,$100
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to provide bank and merchant account statements,Failing to provide bank and merchant account statements,$950
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to document transactions,Failing to document transactions,"$3,803"
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,"$2,000"
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$401
2017,"Cunningham, Brian-Christopher",03/15/2021,Filing late disclosure statements,Filing late disclosure statements,$400
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to report and document basic campaign functions/ activities,Failing to report and document basic campaign functions/ activities,"$1,000"
2017,"Cunningham, Brian-Christopher",03/15/2021,Accepting a contribution from a corporation,Accepting a contribution from a corporation,$300
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$3,249"
2017,"Cunningham, Brian-Christopher",03/15/2021,Failing to respond to the Initial Documentation Request and Draft Audit Report,Failing to respond to the Initial Documentation Request and Draft Audit Report,"$22,512"
2017,"Cunningham, Brian-Christopher",03/15/2021,Qualified Expenditure Deficit,Qualified Expenditure Deficit,"$123,696"
2017,"Ampry-Samuel, Alicka",03/04/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$80
2017,"Ampry-Samuel, Alicka",03/04/2021,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$300
2017,"Ampry-Samuel, Alicka",03/04/2021,Failing to document transactions,Failing to document transactions,$150
2017,"Ampry-Samuel, Alicka",03/04/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,Violation; No Penalty
2017,"Ampry-Samuel, Alicka",03/04/2021,Qualified Expenditure Deficit,Qualified Expenditure Deficit,"$32,142"
